GEOID,county.x,number_of_hospitals,NAME,variable,county_population,county.y,COUNTY,2021_PCPI,2022_PCPI,PCPI_2023,RANK_PCPI_2023,2022_PCT_CHANGE,2023_PCT_CHANGE,RANK_CHANGE_2023
24001,ALLEGANY,2,"Allegany County, Maryland",P1_001N,68106,ALLEGANY,Allegany,47462,46913,49182,22,-1.2,4.8,18
24003,ANNE_ARUNDEL,2,"Anne Arundel County, Maryland",P1_001N,588261,ANNE_ARUNDEL,Anne Arundel,77764,79335,84019,4,2,5.9,9
24510,BALTIMORE_CITY,15,"Baltimore city, Maryland",P1_001N,585708,BALTIMORE_CITY,Baltimore,67143,70461,74738,10,4.9,6.1,7
24005,BALTIMORE_COUNTY,6,"Baltimore County, Maryland",P1_001N,854535,BALTIMORE_COUNTY,Baltimore City,58764,60799,64357,15,3.5,5.9,11
24009,CALVERT,1,"Calvert County, Maryland",P1_001N,92783,CALVERT,Calvert,68843,71427,76018,8,3.8,6.4,4
24013,CARROLL,2,"Carroll County, Maryland",P1_001N,172891,CARROLL,Carroll,69623,70695,74895,9,1.5,5.9,8
24015,CECIL,1,"Cecil County, Maryland",P1_001N,103725,CECIL,Cecil,55614,56261,59373,16,1.2,5.5,16
24017,CHARLES,1,"Charles County, Maryland",P1_001N,166617,CHARLES,Charles,62048,63063,66642,14,1.6,5.7,14
24019,DORCHESTER,3,"Dorchester County, Maryland",P1_001N,32531,DORCHESTER,Dorchester,55579,55896,57060,19,0.6,2.1,21
24021,FREDERICK,1,"Frederick County, Maryland",P1_001N,271717,FREDERICK,Frederick,69770,71670,76664,7,2.7,7,2
24023,GARRETT,1,"Garrett County, Maryland",P1_001N,28806,GARRETT,Garrett,53377,53861,57525,17,0.9,6.8,3
24025,HARFORD,2,"Harford County, Maryland",P1_001N,260924,HARFORD,Harford,66466,67325,71196,11,1.3,5.7,13
24027,HOWARD,2,"Howard County, Maryland",P1_001N,332317,HOWARD,Howard,86486,90055,95529,3,4.1,6.1,6
24029,KENT,1,"Kent County, Maryland",P1_001N,19198,KENT,Kent,69328,72498,77025,6,4.6,6.2,5
24031,MONTGOMERY,8,"Montgomery County, Maryland",P1_001N,1062061,MONTGOMERY,Montgomery,90696,94474,100044,1,4.2,5.9,10
24033,PRINCE_GEORGES,6,"Prince George's County, Maryland",P1_001N,967201,PRINCE_GEORGES,Prince George's,53353,54605,57096,18,2.3,4.6,19
24037,SAINT_MARYS,1,"St. Mary's County, Maryland",P1_001N,113777,SAINT_MARYS,St. Mary's,64999,66497,70353,12,2.3,5.8,12
24039,SOMERSET,1,"Somerset County, Maryland",P1_001N,24620,SOMERSET,Somerset,36982,40018,37345,24,8.2,-6.7,24
24041,TALBOT,1,"Talbot County, Maryland",P1_001N,37526,TALBOT,Talbot,84902,91670,98166,2,8,7.1,1
24043,WASHINGTON,3,"Washington County, Maryland",P1_001N,154705,WASHINGTON,Washington,53079,53502,56174,21,0.8,5,17
24045,WICOMICO,3,"Wicomico County, Maryland",P1_001N,103588,WICOMICO,Wicomico,46638,47904,48596,23,2.7,1.4,22
24047,WORCESTER,1,"Worcester County, Maryland",P1_001N,52460,WORCESTER,Worcester,64317,66552,68163,13,3.5,2.4,20
24011,NA,NA,"Caroline County, Maryland",P1_001N,33293,CAROLINE,Caroline,54180,56902,56447,20,5,-0.8,23
24035,NA,NA,"Queen Anne's County, Maryland",P1_001N,49874,QUEEN_ANNES,Queen Anne's,77455,79258,83650,5,2.3,5.5,15
