FIPS,State,County,Life Expectancy
24000,Maryland,,77.8
24001,Maryland,Allegany,73.5
24003,Maryland,Anne Arundel,78.8
24005,Maryland,Baltimore,76.9
24009,Maryland,Calvert,78.7
24011,Maryland,Caroline,74.5
24013,Maryland,Carroll,78.2
24015,Maryland,Cecil,73.7
24017,Maryland,Charles,76.7
24019,Maryland,Dorchester,74.2
24021,Maryland,Frederick,80.0
24023,Maryland,Garrett,76.8
24025,Maryland,Harford,77.9
24027,Maryland,Howard,82.5
24029,Maryland,Kent,76.8
24031,Maryland,Montgomery,83.2
24033,Maryland,Prince George's,77.6
24035,Maryland,Queen Anne's,79.6
24037,Maryland,St. Mary's,77.0
24039,Maryland,Somerset,74.0
24041,Maryland,Talbot,78.9
24043,Maryland,Washington,74.5
24045,Maryland,Wicomico,74.9
24047,Maryland,Worcester,78.5
24510,Maryland,Baltimore City,70.6
